ctrl,variable,block_path,pin,direction,note
# connections verified by hand in the configuration tool's cross-reference (Where Used) that the XML cannot show:
# pins of a fully encrypted UserBlock instance. Loaded on every build as pin rows with origin='xref' (dir_source 'T').
# block_path = Program/Task/.../Block exactly as the index prints it; the block must be opaque. direction I = the pin
# reads the variable, O = writes it. Lines starting with # are ignored. `py tools/dcdas.py xref-paste <txt> --ctrl X`
# appends rows from a pasted Where-Used tree. Bulk rows may be generated by a script; the note must state the evidence
# (what the tool confirmed, what is inferred from a plaintext sibling's order, what is mirrored). No site, unit or vendor names.
# A row for a pin the build already recovered (decl/link/pair) replaces that row: verified beats inferred.
H11,HpOTHeatExOutFarSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INA,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_11.IN -> OR_11 -> VOTE_1.IN1
H11,HpOTHeatExOutNearSideTemp1,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INB,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_12.IN -> OR_12 -> VOTE_1.IN2
H11,HpOTHeatExOutFarSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INC,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_13.IN -> OR_13 -> VOTE_1.IN3
H11,HpOTHeatExOutNearSideTemp2,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,IND,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_14.IN -> OR_14 -> VOTE_1.IN4
H11,HpOTHeatExOutFarSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INE,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_15.IN -> OR_15 -> VOTE_1.IN5
H11,HpOTHeatExOutNearSideTemp3,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INF,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_16.IN -> OR_16 -> VOTE_1.IN6
H11,HpOTHeatExOutFarSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,ING,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_17.IN -> OR_17 -> VOTE_1.IN7
H11,HpOTHeatExOutNearSideTemp4,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INH,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_18.IN -> OR_18 -> VOTE_1.IN8
H11,HpOTHeatExOutFarSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INI,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_19.IN -> OR_19 -> VOTE_1.IN9
H11,HpOTHeatExOutNearSideTemp5,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INJ,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_20.IN -> OR_20 -> VOTE_1.IN10
H11,HpOTHeatExOutFarSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INK,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_21.IN -> OR_21 -> VOTE_1.IN11
H11,HpOTHeatExOutNearSideTemp6,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INL,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_22.IN -> OR_22 -> VOTE_1.IN12
H11,HpOTHeatExOutFarSideTemp7,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INM,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_23.IN -> OR_23 -> VOTE_1.IN13
H11,HpOTHeatExOutNearSideTemp7,HRSG_Protection_1/FNCTN_HpOTHeatExOutTemp/NooM_Basic_1,INN,I,tool cross-reference 2026-09-24: INL confirmed; pin order = MIN_MAX_1.IN1..IN20 of the same program; inside -> HI_LO_MON_24.IN -> OR_24 -> VOTE_1.IN14
